Model,F1[class=0],F1[class=1],F1[class=2]
GAEn/MGT,0.8805704099821747,0.9359079704190633,0.9251012145748988
IndicBERT,0.7584459459459459,0.8637873754152824,0.8463917525773196
MuRIL,0.8167808219178082,0.8924103419516264,0.8809766022380467
XLM-R,0.8297320656871219,0.9052982895285774,0.8918099089989889
mBERT,0.8030560271646859,0.8687631027253668,0.8491620111731844
